clients,time,calls,Algorithm
10,392,45,Decorr
10,431,46,FullJitter
10,477,50,KubeJitter
20,640,123,Decorr
20,713,122,FullJitter
20,839,137,KubeJitter
30,930,229,Decorr
30,941,215,FullJitter
30,1095,243,KubeJitter
40,1164,357,Decorr
40,1167,325,FullJitter
40,1321,367,KubeJitter
50,1394,500,Decorr
50,1379,454,FullJitter
50,1524,503,KubeJitter
60,1608,667,Decorr
60,1587,595,FullJitter
60,1725,653,KubeJitter
70,1825,846,Decorr
70,1784,755,FullJitter
70,1909,813,KubeJitter
80,2027,1038,Decorr
80,1975,926,FullJitter
80,2125,992,KubeJitter
90,2237,1246,Decorr
90,2176,1114,FullJitter
90,2284,1177,KubeJitter
100,2428,1473,Decorr
100,2374,1318,FullJitter
100,2500,1381,KubeJitter
110,2618,1702,Decorr
110,2563,1537,FullJitter
110,2684,1599,KubeJitter
120,2818,1974,Decorr
120,2750,1768,FullJitter
120,2879,1830,KubeJitter
130,2999,2240,Decorr
130,2954,2019,FullJitter
130,3055,2069,KubeJitter
140,3197,2525,Decorr
140,3111,2281,FullJitter
140,3237,2322,KubeJitter
150,3389,2819,Decorr
150,3306,2556,FullJitter
150,3428,2589,KubeJitter
160,3577,3134,Decorr
160,3491,2851,FullJitter
160,3619,2873,KubeJitter
170,3770,3464,Decorr
170,3672,3157,FullJitter
170,3793,3164,KubeJitter
180,3934,3794,Decorr
180,3857,3475,FullJitter
180,3979,3470,KubeJitter
190,4103,4152,Decorr
190,4053,3812,FullJitter
190,4151,3795,KubeJitter
